description,Gear,Source,Mgmt_area,Sex,year,age,mean_weight,sd_weight,n
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,4,2.2,0.7,6
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,5,3.1,0.9,23
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,6,3.1,0.7,45
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,7,3.6,0.8,74
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,8,3.9,0.7,63
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,9,4,0.9,151
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,10,4,0.8,88
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,11,4,0.9,98
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,12,4.3,1,79
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,13,4.1,1.1,32
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,14,4.5,1.1,40
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,15,4.7,1.2,21
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,16,4.5,1.2,13
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,17,4.9,1.3,10
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,18,5.1,1.7,9
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,19,5.2,1.8,15
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,20,4.9,1.4,5
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,21,6.7,2.1,10
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,22,5.3,1.2,9
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,23,6.2,1.5,12
weightageby_gear_source_area_year_sex,Longline,Fishery,NSEI,Female,2007,24,6.2,2,11
